tourney_start_date,tourney_sack,surface_sack,round_sack,winner_name,loser_name,score,tourney_td,Location,surface_td,round_td,winner_td,loser_td,match_date_td,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL,key_city_players,key_city_round_players,key_cityonly_players,key_cityonly_round_players,tkey_city,city_key,players_sorted,rnd_canon,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,w_key,l_key
2017-01-09,Sydney,Hard,R32,Gilles Muller,Alexandr Dolgopolov,3-6 6-3 7-5,,,,,,,,,,,,,,,,,,,,sydney_hard__a dolgopolov__g muller,sydney_hard__R32__a dolgopolov__g muller,sydney__a dolgopolov__g muller,sydney__R32__a dolgopolov__g muller,sydney_hard,sydney,a dolgopolov__g muller,R32,104180,6.0,,Gilles Muller,L,193.0,LUX,33.6,105238,,,Alexandr Dolgopolov,R,180.0,UKR,28.1,3,127.0,14.0,6.0,96.0,56.0,44.0,20.0,15.0,2.0,3.0,8.0,6.0,100.0,65.0,49.0,17.0,15.0,5.0,7.0,34.0,1255.0,63.0,760.0,g muller,a dolgopolov
2017-01-09,Sydney,Hard,R32,Andrey Kuznetsov,Martin Klizan,2-6 6-1 3-0 RET,,,,,,,,,,,,,,,,,,,,sydney_hard__a kuznetsov__m klizan,sydney_hard__R32__a kuznetsov__m klizan,sydney__a kuznetsov__m klizan,sydney__R32__a kuznetsov__m klizan,sydney_hard,sydney,a kuznetsov__m klizan,R32,105723,,,Andrey Kuznetsov,R,183.0,RUS,25.8,105373,7.0,,Martin Klizan,L,191.0,SVK,27.4,3,72.0,6.0,2.0,48.0,30.0,23.0,9.0,9.0,3.0,5.0,1.0,4.0,56.0,39.0,22.0,8.0,9.0,2.0,6.0,48.0,935.0,35.0,1230.0,a kuznetsov,m klizan
2017-01-09,Sydney,Hard,R32,Gastao Elias,Christopher Oconnell,6-7(3) 6-4 6-1,,,,,,,,,,,,,,,,,,,,sydney_hard__c oconnell__g elias,sydney_hard__R32__c oconnell__g elias,sydney__c oconnell__g elias,sydney__R32__c oconnell__g elias,sydney_hard,sydney,c oconnell__g elias,R32,105671,,Q,Gastao Elias,R,180.0,POR,26.1,106331,,Q,Christopher Oconnell,R,183.0,AUS,22.6,3,145.0,11.0,4.0,114.0,62.0,45.0,29.0,14.0,14.0,15.0,2.0,6.0,100.0,66.0,40.0,17.0,15.0,6.0,11.0,81.0,675.0,238.0,217.0,g elias,c oconnell
2017-01-09,Sydney,Hard,R16,Andrey Kuznetsov,Alex De Minaur,6-2 0-0 RET,,,,,,,,,,,,,,,,,,,,sydney_hard__a de minaur__a kuznetsov,sydney_hard__R16__a de minaur__a kuznetsov,sydney__a de minaur__a kuznetsov,sydney__R16__a de minaur__a kuznetsov,sydney_hard,sydney,a de minaur__a kuznetsov,R16,105723,,,Andrey Kuznetsov,R,183.0,RUS,25.8,200282,,WC,Alex De Minaur,R,183.0,AUS,17.8,3,40.0,2.0,1.0,28.0,13.0,9.0,9.0,4.0,2.0,2.0,0.0,0.0,31.0,20.0,10.0,6.0,4.0,6.0,8.0,48.0,935.0,333.0,144.0,a kuznetsov,a de minaur
2017-01-09,Sydney,Hard,QF,Andrey Kuznetsov,Pablo Carreno Busta,2-6 6-4 6-1,,,,,,,,,,,,,,,,,,,,sydney_hard__a kuznetsov__p carreno busta,sydney_hard__QF__a kuznetsov__p carreno busta,sydney__a kuznetsov__p carreno busta,sydney__QF__a kuznetsov__p carreno busta,sydney_hard,sydney,a kuznetsov__p carreno busta,QF,105723,,,Andrey Kuznetsov,R,183.0,RUS,25.8,105807,4.0,,Pablo Carreno Busta,R,188.0,ESP,25.4,3,105.0,9.0,5.0,79.0,37.0,29.0,22.0,13.0,4.0,6.0,4.0,3.0,78.0,46.0,31.0,17.0,12.0,7.0,10.0,48.0,935.0,30.0,1370.0,a kuznetsov,p carreno busta
2017-01-09,Sydney,Hard,F,Gilles Muller,Daniel Evans,7-6(5) 6-2,,,,,,,,,,,,,,,,,,,,sydney_hard__d evans__g muller,sydney_hard__F__d evans__g muller,sydney__d evans__g muller,sydney__F__d evans__g muller,sydney_hard,sydney,d evans__g muller,F,104180,6.0,,Gilles Muller,L,193.0,LUX,33.6,105554,,,Daniel Evans,R,175.0,GBR,26.6,3,88.0,,,,,,,,,,,,,,,,,,,34.0,1255.0,67.0,736.0,g muller,d evans
2017-01-16,Australian Open,Hard,R128,Lukas Lacko,Albert Ramos,4-6 7-5 1-6 6-4 6-3,,,,,,,,,,,,,,,,,,,,melbourne_hard__a ramos__l lacko,melbourne_hard__R128__a ramos__l lacko,melbourne__a ramos__l lacko,melbourne__R128__a ramos__l lacko,melbourne_hard,melbourne,a ramos__l lacko,R128,105041,,Q,Lukas Lacko,R,185.0,SVK,29.2,105077,26.0,,Albert Ramos,L,188.0,ESP,28.9,5,200.0,17.0,4.0,140.0,86.0,64.0,30.0,24.0,8.0,12.0,21.0,11.0,151.0,86.0,63.0,32.0,24.0,7.0,11.0,121.0,486.0,26.0,1435.0,l lacko,a ramos
2017-01-16,Australian Open,Hard,R128,Kei Nishikori,Andrey Kuznetsov,5-7 6-1 6-4 6-7(6) 6-2,,,,,,,,,,,,,,,,,,,,melbourne_hard__a kuznetsov__k nishikori,melbourne_hard__R128__a kuznetsov__k nishikori,melbourne__a kuznetsov__k nishikori,melbourne__R128__a kuznetsov__k nishikori,melbourne_hard,melbourne,a kuznetsov__k nishikori,R128,105453,5.0,,Kei Nishikori,R,178.0,JPN,27.0,105723,,,Andrey Kuznetsov,R,183.0,RUS,25.9,5,214.0,11.0,0.0,158.0,98.0,67.0,34.0,25.0,7.0,12.0,5.0,4.0,142.0,78.0,52.0,27.0,24.0,3.0,12.0,5.0,5010.0,45.0,1015.0,k nishikori,a kuznetsov
2017-01-16,Australian Open,Hard,R128,Victor Estrella,Aljaz Bedene,7-6(7) 7-5 0-6 6-3,,,,,,,,,,,,,,,,,,,,melbourne_hard__a bedene__v estrella,melbourne_hard__R128__a bedene__v estrella,melbourne__a bedene__v estrella,melbourne__R128__a bedene__v estrella,melbourne_hard,melbourne,a bedene__v estrella,R128,103607,,,Victor Estrella,R,173.0,DOM,36.4,105379,,,Aljaz Bedene,R,181.0,SLO,27.4,5,189.0,4.0,6.0,143.0,99.0,63.0,20.0,20.0,9.0,15.0,10.0,8.0,135.0,73.0,51.0,31.0,19.0,5.0,10.0,103.0,586.0,109.0,547.0,v estrella,a bedene
2017-01-16,Australian Open,Hard,R128,Alexandr Dolgopolov,Borna Coric,6-3 6-4 3-6 7-6(7),,,,,,,,,,,,,,,,,,,,melbourne_hard__a dolgopolov__b coric,melbourne_hard__R128__a dolgopolov__b coric,melbourne__a dolgopolov__b coric,melbourne__R128__a dolgopolov__b coric,melbourne_hard,melbourne,a dolgopolov__b coric,R128,105238,,,Alexandr Dolgopolov,R,180.0,UKR,28.1,106432,,,Borna Coric,R,188.0,CRO,20.1,5,177.0,14.0,9.0,132.0,75.0,58.0,29.0,20.0,6.0,9.0,13.0,7.0,134.0,80.0,56.0,26.0,20.0,7.0,11.0,69.0,715.0,59.0,795.0,a dolgopolov,b coric
