feature,gain,split
A_rank,7924.5050530433655,713
rank_diff,6752.3212785720825,828
A_age,5779.122814416885,950
age_diff,5746.544766664505,866
B_rank,4944.832483768463,835
B_age,4157.812812566757,715
best_of,1931.7264902591705,186
round_ord,945.4044816493988,172
surf_clay,528.7798097133636,90
surf_grass,292.77004957199097,55
surf_hard,268.2790904045105,46
surf_carpet,0.0,0
